cid,bdate,gen
AW00015265,1946-02-15,Male
AW00015266,1946-10-08,Female
AW00015267,1948-04-03,Female
AW00015268,1953-10-04,Female
AW00015269,1981-11-17,Female
AW00015270,1982-02-03,Female
AW00015271,1981-12-01,Male
AW00015272,1981-12-30,Male
AW00015273,1981-11-11,Male
AW00015274,1982-01-22,Male
AW00015275,1982-04-22,Male
AW00015276,1985-06-02,Female
AW00015277,1979-12-02,Female
AW00015278,1985-08-30,Male
AW00015279,1980-06-25,Male
AW00015280,1973-12-11,Female
AW00015281,1972-10-19,Male
AW00015282,1969-01-17,Female
AW00015283,1978-05-22,Male
AW00015284,1983-03-10,Male
AW00015285,1983-02-07,Female
AW00015286,1979-03-31,Male
AW00015287,1978-10-21,Female
AW00015288,1978-09-25,Male
AW00015289,1983-02-10,Female
AW00015290,1983-07-24,Male
AW00015291,1982-10-19,Female
AW00015292,1976-12-14,Female
AW00015293,1982-03-07,Male
AW00015294,1977-02-05,Male
AW00015295,1976-09-20,Male
AW00015296,1976-12-10,Female
AW00015297,1976-11-11,Female
AW00015298,1983-09-08,Male
AW00015299,1983-10-19,Male
AW00015300,1978-05-09,Male
AW00015301,1977-08-18,Female
AW00015302,1978-01-09,Female
AW00015303,1950-04-22,Female
AW00015304,1950-05-23,Female
AW00015305,1951-04-18,Female
AW00015306,1951-03-19,Female
AW00015307,1956-04-21,Female
AW00015308,1961-10-05,Female
AW00015309,1951-01-30,Male
AW00015310,1951-05-18,Female
AW00015311,1956-07-17,Male
AW00015312,1951-01-12,Female
AW00015313,1952-04-26,Male
AW00015314,1952-02-02,Male
AW00015315,1952-04-15,Female
AW00015316,1953-04-09,Female
AW00015317,1958-05-16,Female
AW00015318,1953-03-20,Female
AW00015319,1952-07-03,Female
AW00015320,1969-04-11,Male
AW00015321,1952-10-31,Male
AW00015322,1958-08-06,Male
AW00015323,1953-09-20,Male
AW00015324,1953-11-18,Female
AW00015325,1959-05-17,Male
AW00015326,1959-09-14,Male
AW00015327,1954-06-15,Female
AW00015328,1954-05-22,Male
AW00015329,1954-04-18,Female
AW00015330,1955-02-22,Female
AW00015331,1960-08-22,Male
AW00015332,1960-04-04,Male
AW00015333,1955-05-05,Female
AW00015334,1955-11-01,Female
AW00015335,1955-08-03,Female
AW00015336,1956-03-20,Male
AW00015337,1961-05-24,Female
AW00015338,1955-12-29,Female
AW00015339,1955-12-29,Male
AW00015340,1956-11-03,Female
AW00015341,1957-05-11,Female
AW00015342,1956-10-18,Female
AW00015343,1957-03-06,Male
AW00015344,1956-09-04,Male
AW00015345,1956-11-12,Female
AW00015346,1956-09-10,Male
AW00015347,1957-12-25,Female
AW00015348,1958-05-19,Male
AW00015349,1963-11-07,Female
AW00015350,1963-08-30,Female
AW00015351,1957-10-12,Male
AW00015352,1964-01-17,Male
AW00015353,1963-12-31,Female
AW00015354,1962-08-07,Male
AW00015355,1961-07-17,Female
AW00015356,1960-10-16,Female
AW00015357,1966-10-18,Male
AW00015358,1937-09-22,Female
AW00015359,1938-10-05,Male
AW00015360,1938-12-20,Male
AW00015361,1938-11-15,Male
AW00015362,1976-12-02,Female
AW00015363,1970-08-26,Male
AW00015364,1970-08-21,Male
AW00015365,1976-10-20,Female
AW00015366,1976-12-18,Female
AW00015367,1969-07-04,Female
AW00015368,1969-08-07,Female
AW00015369,1967-02-17,Male
AW00015370,1961-12-31,Female
AW00015371,1961-09-01,Male
AW00015372,1967-07-16,Male
AW00015373,1939-10-17,Female
AW00015374,1940-04-10,Female
AW00015375,1940-03-14,Female
AW00015376,1974-05-02,Female
AW00015377,1969-01-01,Female
AW00015378,1968-09-02,Male
AW00015379,1969-05-22,Female
AW00015380,1968-04-06,Male
AW00015381,1967-11-07,Female
AW00015382,1973-05-07,Female
AW00015383,1968-04-26,Male
AW00015384,1966-08-23,Male
AW00015385,1972-06-10,Female
AW00015386,1966-09-05,Male
AW00015387,1966-08-13,Male
AW00015388,1966-07-19,Female
AW00015389,1967-03-06,Female
AW00015390,1960-10-31,Male
AW00015391,1966-03-16,Female
AW00015392,1960-02-16,Female
AW00015393,1941-03-31,Female
AW00015394,1947-04-03,Female
AW00015395,1966-04-16,Male
AW00015396,1971-10-30,Female
AW00015397,1965-12-05,Male
AW00015398,1966-04-12,Male
AW00015399,1960-01-29,Female
AW00015400,1960-03-18,Male
AW00015401,1960-02-13,Female
AW00015402,1960-02-13,Male
AW00015403,1965-09-02,Male
AW00015404,1959-10-31,Female
AW00015405,1958-09-21,Male
AW00015406,1958-11-23,Female
AW00015407,1964-09-02,Female
AW00015408,1959-04-25,Female
AW00015409,1958-01-31,Male
AW00015410,1957-12-20,Female
AW00015411,1948-11-03,Male
AW00015412,1942-12-12,Male
AW00015413,1943-03-04,Male
AW00015414,1945-03-02,Male
AW00015415,1944-11-10,Female
AW00015416,1945-08-18,Male
AW00015417,1952-06-01,Male
AW00015418,1974-04-04,Male
AW00015419,1979-01-13,Male
AW00015420,1974-04-01,Male
AW00015421,1973-08-31,Male
AW00015422,1985-01-06,Female
AW00015423,1984-10-23,Male
AW00015424,1984-12-09,Female
AW00015425,1955-09-22,Female
AW00015426,1949-08-16,Female
AW00015427,1985-05-17,Female
AW00015428,1984-10-28,Male
AW00015429,1984-10-16,Male
AW00015430,1983-12-07,Male
AW00015431,1983-09-14,Male
AW00015432,1984-02-15,Male
AW00015433,1984-02-15,Male
AW00015434,1950-07-19,Male
AW00015435,1952-04-10,Male
AW00015436,1952-03-19,Female
AW00015437,1952-12-19,Female
AW00015438,1952-09-07,Male
AW00015439,1959-01-11,Male
AW00015440,1979-09-20,Male
AW00015441,1971-08-17,Female
AW00015442,1967-12-25,Male
AW00015443,1967-09-23,Male
AW00015444,1967-08-09,Male
AW00015445,1968-06-11,Male
AW00015446,1972-05-19,Male
AW00015447,1966-11-08,Female
AW00015448,1967-04-24,Male
AW00015449,1940-08-14,Male
AW00015450,1941-12-08,Male
AW00015451,1967-11-16,Female
AW00015452,1964-02-16,Female
AW00015453,1969-08-07,Female
AW00015454,1961-03-02,Male
AW00015455,1945-10-07,Female
AW00015456,1946-04-13,Male
AW00015457,1946-08-28,Female
AW00015458,1953-06-23,Female
AW00015459,1947-10-11,Female
AW00015460,1953-02-09,Female
AW00015461,1947-11-10,Male
AW00015462,1949-02-23,Male
AW00015463,1949-05-18,Male
AW00015464,1985-10-02,Female
AW00015465,1986-03-03,Female
AW00015466,1975-07-08,Male
AW00015467,1976-01-30,Male
AW00015468,1976-05-09,Female
AW00015469,1981-10-24,Male
AW00015470,1981-02-17,Female
AW00015471,1974-09-05,Female
AW00015472,1980-10-14,Female
AW00015473,1974-10-13,Female
AW00015474,1974-10-30,Male
AW00015475,1980-10-14,Female
AW00015476,1975-05-01,Female
AW00015477,1975-02-08,Male
AW00015478,1977-02-15,Female
AW00015479,1977-02-17,Female
AW00015480,1977-01-19,Female
AW00015481,1982-08-21,Female
AW00015482,1976-08-07,Female
AW00015483,1976-11-04,Female
AW00015484,1976-12-17,Male
AW00015485,1975-05-19,Female
AW00015486,1975-03-23,Male
AW00015487,1975-03-09,Male
AW00015488,1974-09-24,Male
AW00015489,1974-01-23,Female
AW00015490,1973-08-02,Female
AW00015491,1979-04-20,Female
AW00015492,1985-04-14,Female
AW00015493,1979-09-16,Male
AW00015494,1974-05-14,Female
AW00015495,1972-11-14,Male
AW00015496,1973-03-07,Female
AW00015497,1972-09-01,Female
AW00015498,1975-08-08,Female
AW00015499,1976-06-22,Male
AW00015500,1975-07-25,Male
AW00015501,1975-12-19,Male
AW00015502,1978-10-15,Male
AW00015503,1978-08-22,Female
AW00015504,1972-09-29,Male
AW00015505,1972-08-06,Female
AW00015506,1982-09-20,Male
AW00015507,1972-03-27,Female
AW00015508,1972-02-05,Female
AW00015509,1971-08-23,Male
AW00015510,1977-10-20,Male
AW00015511,1974-08-11,Female
AW00015512,1975-01-29,Male
AW00015513,1975-04-19,Female
AW00015514,1974-11-16,Female
AW00015515,1974-10-08,Male
AW00015516,1980-10-14,Male
AW00015517,1980-01-19,Male
AW00015518,1975-03-12,Male
AW00015519,1927-05-10,Female
AW00015520,1970-12-17,Female
AW00015521,1976-05-21,Female
AW00015522,1976-09-03,Male
AW00015523,1969-08-07,Male
AW00015524,1975-09-12,Male
AW00015525,1975-02-08,Female
AW00015526,1969-12-17,Female
AW00015527,1969-10-06,Female
AW00015528,1979-10-01,Male
AW00015529,1969-01-01,Male
AW00015530,1968-09-30,Female
AW00015531,1968-12-11,Male
AW00015532,1968-08-03,Male
AW00015533,1979-09-06,Female
AW00015534,1969-03-21,Male
AW00015535,1969-04-30,Male
AW00015536,1974-08-09,Female
AW00015537,1968-07-22,Female
AW00015538,1969-02-24,Male
AW00015539,1967-07-23,Male
AW00015540,1973-04-04,Male
AW00015541,1967-10-05,Female
AW00015542,1973-04-18,Female
AW00015543,1967-09-23,Female
AW00015544,1968-06-12,Male
AW00015545,1972-02-07,Female
AW00015546,1966-11-18,Male
AW00015547,1967-04-05,Female
AW00015548,1966-03-12,Female
AW00015549,1972-12-03,Male
AW00015550,1978-05-17,Male
AW00015551,1973-01-02,Female
AW00015552,1972-12-28,Male
AW00015553,1972-12-08,Male
AW00015554,1973-03-01,Female
AW00015555,1966-04-22,Female
AW00015556,1976-11-08,Male
AW00015557,1966-02-11,Male
AW00015558,1965-09-29,Female
AW00015559,1970-05-22,Male
AW00015560,1964-09-17,Female
AW00015561,1970-01-24,Male
AW00015562,1976-04-15,Female
AW00015563,1970-07-10,Male
AW00015564,1970-02-21,Male
AW00015565,1964-08-06,Male
AW00015566,1970-09-21,Male
AW00015567,1964-12-21,Female
AW00015568,1963-07-11,Male
AW00015569,1974-08-22,Female
AW00015570,1975-02-05,Female
AW00015571,1975-03-06,Male
AW00015572,1963-09-16,Female
AW00015573,1969-08-21,Male
AW00015574,1969-01-17,Male
AW00015575,1985-01-06,Male
AW00015576,1976-03-18,Female
AW00015577,1975-08-25,Female
AW00015578,1981-08-16,Female
AW00015579,1973-07-04,Female
AW00015580,1979-02-20,Male
AW00015581,1973-10-25,Female
AW00015582,1974-01-18,Male
AW00015583,1974-03-28,Female
AW00015584,1972-10-14,Female
AW00015585,1978-03-05,Male
AW00015586,1975-02-24,Male
AW00015587,1980-10-10,Female
AW00015588,1980-07-03,Female
AW00015589,1974-10-13,Male
AW00015590,1974-09-24,Male
AW00015591,1975-03-22,Male
AW00015592,1983-10-01,Female
AW00015593,1973-03-18,Female
AW00015594,1978-03-05,Female
AW00015595,1971-08-05,Male
AW00015596,1971-07-02,Male
AW00015597,1971-08-06,Male
AW00015598,1971-04-20,Female
AW00015599,1970-11-18,Male
AW00015600,1974-05-02,Male
AW00015601,1979-08-09,Female
AW00015602,1979-01-14,Male
AW00015603,1975-09-02,Male
AW00015604,1970-06-13,Male
AW00015605,1970-02-21,Male
AW00015606,1970-06-10,Male
AW00015607,1975-09-19,Male
AW00015608,1984-05-10,Female
AW00015609,1985-08-11,Male
AW00015610,1986-04-11,Female
AW00015611,1984-02-08,Female
AW00015612,1983-10-05,Male
AW00015613,1984-03-14,Female
AW00015614,1980-05-13,Female
AW00015615,1984-08-12,Female
AW00015616,1984-05-14,Female
AW00015617,1984-08-02,Female
AW00015618,1978-08-26,Male
AW00015619,1978-09-23,Male
AW00015620,1978-11-16,Female
AW00015621,1979-03-26,Female
AW00015622,1978-04-14,Male
AW00015623,1978-04-10,Female
AW00015624,1983-08-08,Male
AW00015625,1978-04-16,Male
AW00015626,1983-07-20,Male
AW00015627,1978-06-23,Male
AW00015628,1922-04-10,Female
AW00015629,1977-03-31,Female
AW00015630,1976-10-30,Female
AW00015631,1977-05-11,Male
AW00015632,1976-07-08,Female
AW00015633,1977-02-08,Female
AW00015634,1982-05-23,Male
AW00015635,1977-02-20,Female
AW00015636,1975-11-22,Male
AW00015637,1977-01-19,Male
AW00015638,1947-01-23,Female
AW00015639,1985-08-30,Female
AW00015640,1985-10-14,Male
AW00015641,1983-11-01,Male
AW00015642,1983-02-21,Female
AW00015643,1983-03-20,Male
AW00015644,1985-02-16,Female
AW00015645,1984-09-08,Male
AW00015646,1984-05-02,Female
AW00015647,1984-05-19,Female
AW00015648,1984-03-03,Male
AW00015649,1954-04-07,Female
AW00015650,1972-01-31,Male
AW00015651,1972-07-09,Female
AW00015652,1966-11-22,Female
AW00015653,1977-12-01,Male
AW00015654,1965-09-09,Male
AW00015655,1971-10-30,Female
AW00015656,1965-12-13,Male
AW00015657,1965-12-18,Male
AW00015658,1965-02-12,Female
AW00015659,1964-08-13,Female
AW00015660,1965-03-01,Female
AW00015661,1965-02-16,Male
AW00015662,1965-11-21,Female
AW00015663,1965-01-05,Female
AW00015664,1970-04-22,Female
AW00015665,1965-01-02,Female
AW00015666,1981-10-18,Female
AW00015667,1976-03-16,Male
AW00015668,1981-02-23,Male
AW00015669,1981-04-20,Female
AW00015670,1975-01-31,Male
AW00015671,1974-11-24,Male
AW00015672,1974-07-19,Male
AW00015673,1980-06-04,Male
AW00015674,1975-01-05,Male
AW00015675,1975-04-15,Male
AW00015676,1974-10-05,Male
AW00015677,1975-02-08,Female
AW00015678,1980-06-04,Female
AW00015679,1958-03-10,Male
AW00015680,1956-09-05,Female
AW00015681,1960-02-07,Female
AW00015682,1949-11-18,Female
AW00015683,1949-12-20,Female
AW00015684,1955-07-07,Male
AW00015685,1949-12-07,Female
AW00015686,1949-12-31,Male
AW00015687,1950-12-16,Male
AW00015688,1950-11-04,Male
AW00015689,1950-07-06,Female
AW00015690,1951-12-10,Male
AW00015691,1959-12-15,Male
AW00015692,1959-10-12,Male
AW00015693,1960-01-16,Female
AW00015694,1959-01-18,Female
AW00015695,1959-12-16,Male
AW00015696,1958-12-03,Male
AW00015697,1959-01-03,Female
AW00015698,1958-08-31,Female
AW00015699,1959-03-11,Male
AW00015700,1958-05-19,Male
AW00015701,1958-03-27,Female
AW00015702,1958-02-15,Female
AW00015703,1962-05-02,Female
AW00015704,1956-09-10,Male
AW00015705,1955-09-19,Male
AW00015706,1955-05-25,Female
AW00015707,1960-09-11,Female
AW00015708,1960-07-17,Female
AW00015709,1959-08-31,Female
AW00015710,1953-07-22,Female
AW00015711,1953-12-30,Male
AW00015712,1954-06-04,Female
AW00015713,1953-12-07,Female
AW00015714,1953-03-16,Female
AW00015715,1980-12-17,Female
AW00015716,1980-12-17,Male
AW00015717,1981-11-23,Female
AW00015718,1981-10-13,Female
AW00015719,1982-01-10,Female
AW00015720,1980-01-23,Female
AW00015721,1985-08-11,Female
AW00015722,1980-05-25,Female
AW00015723,1985-03-14,Female
AW00015724,1979-10-30,Male
AW00015725,1979-01-15,Male
AW00015726,1978-08-27,Female
AW00015727,1977-10-31,Female
AW00015728,1979-01-31,Male
AW00015729,1983-09-21,Female
AW00015730,1977-08-18,Male
AW00015731,1976-09-16,Male
AW00015732,1983-05-25,Female
AW00015733,1977-09-22,Female
AW00015734,1976-01-08,Female
AW00015735,1975-10-30,Female
AW00015736,1946-12-11,Female
AW00015737,1946-10-02,Male
AW00015738,1947-01-20,Female
AW00015739,1948-06-14,Male
AW00015740,1947-10-09,Male
AW00015741,1948-04-09,Female
AW00015742,1948-05-06,Female
AW00015743,1953-02-14,Female
AW00015744,1947-09-19,Female
AW00015745,1948-02-12,Male
AW00015746,1949-05-31,Female
AW00015747,1949-08-24,Male
AW00015748,1949-12-07,Male
AW00015749,1950-04-24,Female
AW00015750,1984-10-16,Female
AW00015751,1966-02-21,Female
AW00015752,1961-03-31,Male
AW00015753,1962-06-21,Female
AW00015754,1961-12-21,Female
AW00015755,1967-01-22,Male
AW00015756,1974-01-01,Female
AW00015757,1963-01-07,Male
AW00015758,1969-05-22,Male
AW00015759,1979-05-07,Female
AW00015760,1979-11-01,Male
AW00015761,1980-04-16,Male
AW00015762,1979-11-05,Male
AW00015763,1980-01-22,Male
AW00015764,1964-12-12,Male
AW00015765,1965-04-16,Male
AW00015766,1965-02-12,Female
AW00015767,1970-05-20,Male
AW00015768,1972-05-25,Female
AW00015769,1971-11-06,Female
AW00015770,1983-04-06,Male
AW00015771,1963-07-23,Female
AW00015772,1968-03-09,Male
AW00015773,1963-04-02,Male
AW00015774,1968-02-24,Female
AW00015775,1979-12-13,Female
AW00015776,1979-09-06,Male
AW00015777,1968-01-18,Female
AW00015778,1962-11-07,Male
AW00015779,1973-08-14,Male
AW00015780,1968-05-10,Female
AW00015781,1962-09-30,Male
AW00015782,1968-11-19,Female
AW00015783,1973-01-07,Male
AW00015784,1973-03-03,Female
AW00015785,1967-10-24,Male
AW00015786,1968-05-02,Male
AW00015787,1966-11-18,Female
AW00015788,1971-09-15,Female
AW00015789,1972-02-12,Female
AW00015790,1965-12-13,Male
AW00015791,1966-03-20,Female
AW00015792,1976-08-05,Male
AW00015793,1976-04-08,Female
AW00015794,1981-12-15,Female
AW00015795,1970-07-16,Female
AW00015796,1970-11-08,Male
AW00015797,1970-09-25,Male
AW00015798,1970-03-19,Female
AW00015799,1964-07-11,Female
AW00015800,1970-12-07,Male
AW00015801,1969-05-12,Female
AW00015802,1979-10-18,Female
AW00015803,1968-04-16,Male
AW00015804,1968-02-17,Female
AW00015805,1967-08-30,Female
AW00015806,1973-01-02,Male
AW00015807,1972-10-29,Male
AW00015808,1966-07-19,Female
AW00015809,1966-03-15,Male
AW00015810,1971-09-03,Female
AW00015811,1971-05-02,Male
AW00015812,1964-10-07,Male
AW00015813,1982-01-30,Male
AW00015814,1981-10-14,Female
AW00015815,1980-07-24,Female
AW00015816,1981-11-17,Female
AW00015817,1982-01-05,Female
AW00015818,1982-01-16,Male
AW00015819,1986-03-15,Female
AW00015820,1986-04-01,Male
AW00015821,1986-06-25,Male
AW00015822,1944-04-17,Male
AW00015823,1944-03-23,Female
AW00015824,1982-11-30,Female
AW00015825,1981-12-02,Female
AW00015826,1984-07-08,Female
AW00015827,1984-11-03,Female
AW00015828,1945-05-20,Female
AW00015829,1944-11-13,Male
AW00015830,1945-08-13,Female
AW00015831,1945-08-13,Male
AW00015832,1946-10-02,Male
AW00015833,1948-09-20,Female
AW00015834,1981-09-22,Female
AW00015835,1981-10-25,Male
AW00015836,1981-10-13,Male
AW00015837,1981-04-19,Female
AW00015838,1985-02-13,Female
AW00015839,1979-11-18,Male
AW00015840,1977-08-25,Female
AW00015841,1983-05-11,Male
AW00015842,1983-01-09,Female
AW00015843,1974-05-02,Male
AW00015844,1974-06-24,Female
AW00015845,1974-06-17,Female
AW00015846,1979-09-06,Male
AW00015847,1979-05-10,Male
AW00015848,1979-08-24,Female
AW00015849,1972-08-29,Female
AW00015850,1978-10-04,Female
AW00015851,1972-12-18,Female
AW00015852,1978-08-22,Male
AW00015853,1972-08-21,Female
AW00015854,1973-02-24,Female
AW00015855,1968-10-14,Male
AW00015856,1973-08-02,Male
AW00015857,1964-12-03,Female
AW00015858,1964-12-12,Male
AW00015859,1964-09-01,Female
AW00015860,1978-04-19,Male
AW00015861,1977-11-23,Male
AW00015862,1978-06-06,Female
AW00015863,1979-01-31,Male
AW00015864,1984-10-16,Female
AW00015865,1976-10-11,Female
AW00015866,1981-12-30,Female
AW00015867,1976-08-07,Female
AW00015868,1976-12-10,Male
AW00015869,1977-06-20,Female
AW00015870,1976-11-29,Female
AW00015871,1977-06-22,Male
AW00015872,1983-09-29,Female
AW00015873,1983-10-16,Female
AW00015874,1949-12-10,Male
AW00015875,1949-08-16,Male
AW00015876,1950-04-17,Male
AW00015877,1956-10-07,Male
AW00015878,1950-10-21,Male
AW00015879,1950-11-18,Male
AW00015880,1951-05-13,Male
AW00015881,1951-02-17,Female
AW00015882,1951-05-01,Male
AW00015883,1951-05-13,Male
AW00015884,1951-01-04,Male
AW00015885,1951-11-15,Male
AW00015886,1951-10-16,Male
AW00015887,1952-02-09,Female
AW00015888,1951-11-02,Female
AW00015889,1952-05-17,Male
AW00015890,1952-08-26,Male
AW00015891,1952-12-08,Male
AW00015892,1964-07-05,Female
AW00015893,1954-05-15,Female
AW00015894,1970-05-06,Female
AW00015895,1970-05-06,Female
AW00015896,1953-12-15,Male
AW00015897,1953-09-14,Female
AW00015898,1954-10-29,Male
AW00015899,1954-12-29,Male
AW00015900,1961-03-24,Male
AW00015901,1955-08-27,Female
AW00015902,1955-10-23,Male
AW00015903,1956-01-06,Female
AW00015904,1955-07-25,Female
AW00015905,1956-10-15,Female
AW00015906,1956-09-02,Female
AW00015907,1956-10-15,Male
AW00015908,1973-09-12,Male
AW00015909,1957-03-06,Female
AW00015910,1956-12-05,Male
AW00015911,1963-04-23,Female
AW00015912,1957-09-04,Female
AW00015913,1957-12-14,Male
AW00015914,1963-08-19,Male
AW00015915,1958-01-08,Male
AW00015916,1958-01-11,Male
AW00015917,1958-03-20,Female
AW00015918,1957-08-02,Male
AW00015919,1963-11-04,Female
AW00015920,1963-02-11,Male
AW00015921,1968-11-22,Male
AW00015922,1968-10-12,Male
AW00015923,1967-10-04,Male
AW00015924,1961-12-18,Male
AW00015925,1961-12-25,Male
AW00015926,1961-08-11,Female
AW00015927,1962-06-03,Male
AW00015928,1961-11-05,Female
AW00015929,1962-02-07,Female
AW00015930,1960-09-29,Female
AW00015931,1960-07-07,Male
AW00015932,1961-03-10,Female
AW00015933,1966-01-30,Male
AW00015934,1961-09-25,Female
AW00015935,1944-10-24,Female
AW00015936,1939-01-12,Female
AW00015937,1970-11-09,Female
AW00015938,1976-07-05,Male
AW00015939,1970-08-11,Female
AW00015940,1971-05-27,Male
AW00015941,1970-08-26,Female
AW00015942,1975-08-06,Male
AW00015943,1969-07-17,Male
AW00015944,1969-11-09,Male
AW00015945,1975-06-21,Female
AW00015946,1970-01-17,Male
AW00015947,1970-04-11,Female
AW00015948,1970-05-20,Female
AW00015949,1975-09-07,Female
AW00015950,1961-07-14,Female
AW00015951,1962-04-12,Female
AW00015952,1961-12-18,Male
AW00015953,1939-10-09,Male
AW00015954,1980-02-20,Male
AW00015955,1974-11-13,Male
AW00015956,1974-05-13,Male
AW00015957,1969-05-14,Male
AW00015958,1967-10-04,Female
AW00015959,1967-08-30,Male
AW00015960,1968-04-06,Female
AW00015961,1978-10-17,Female
AW00015962,1972-01-08,Male
AW00015963,1978-01-30,Female
AW00015964,1972-09-29,Male
AW00015965,1966-12-16,Female
AW00015966,1961-02-11,Female
AW00015967,1960-12-13,Male
AW00015968,1966-04-17,Male
AW00015969,1977-05-24,Male
AW00015970,1965-09-02,Male
AW00015971,1941-02-22,Male
AW00015972,1941-03-31,Female
AW00015973,1942-05-23,Male
AW00015974,1965-12-10,Male
AW00015975,1971-09-21,Female
AW00015976,1965-11-21,Male
AW00015977,1965-09-12,Female
AW00015978,1966-05-18,Male
AW00015979,1965-12-12,Female
AW00015980,1965-11-19,Female
AW00015981,1965-09-11,Male
AW00015982,1965-11-19,Male
AW00015983,1966-03-15,Female
AW00015984,1965-12-20,Male
AW00015985,1965-12-16,Male
AW00015986,1960-03-10,Male
AW00015987,1971-03-21,Female
AW00015988,1959-11-09,Male
AW00015989,1965-11-15,Female
AW00015990,1964-05-21,Male
AW00015991,1958-07-19,Male
AW00015992,1958-10-20,Female
AW00015993,1958-11-19,Male
AW00015994,1958-05-01,Female
AW00015995,1957-11-23,Female
AW00015996,1963-02-23,Female
AW00015997,1948-09-07,Female
AW00015998,1942-11-06,Female
AW00015999,1943-01-20,Female
AW00016000,1943-03-27,Female
AW00016001,1943-04-24,Male
AW00016002,1942-08-10,Female
AW00016003,1943-04-26,Female
AW00016004,1944-05-18,Male
AW00016005,1944-04-05,Male
AW00016006,1944-01-11,Female
AW00016007,1945-03-30,Female
AW00016008,1945-01-12,Female
AW00016009,1945-03-14,Male
AW00016010,1945-08-13,Female
AW00016011,1946-03-06,Female
AW00016012,1974-01-29,Female
AW00016013,1974-01-18,Male
AW00016014,1979-03-05,Male
AW00016015,1984-08-02,Female
AW00016016,1950-02-09,Male
AW00016017,1984-11-08,Male
AW00016018,1984-10-29,Female
AW00016019,1984-08-01,Female
AW00016020,1984-02-23,Male
AW00016021,1984-04-24,Female
AW00016022,1984-01-17,Male
AW00016023,1953-01-13,Male
AW00016024,1984-02-14,Male
AW00016025,1950-09-04,Male
AW00016026,1952-01-07,Male
AW00016027,1957-08-11,Female
AW00016028,1951-07-28,Male
AW00016029,1952-05-07,Female
AW00016030,1952-11-17,Male
AW00016031,1953-04-08,Male
AW00016032,1959-01-11,Male
AW00016033,1977-04-13,Female
AW00016034,1968-06-09,Female
AW00016035,1978-12-12,Male
AW00016036,1967-06-02,Female
AW00016037,1966-11-05,Female
AW00016038,1978-01-02,Male
AW00016039,1966-11-03,Male
AW00016040,1979-04-02,Male
AW00016041,1966-11-05,Male
AW00016042,1942-01-18,Male
AW00016043,1980-03-05,Male
AW00016044,1964-03-08,Female
AW00016045,1969-06-30,Female
AW00016046,1969-08-16,Female
AW00016047,1968-07-05,Female
AW00016048,1979-05-04,Female
AW00016049,1968-05-08,Female
AW00016050,1962-09-08,Male
AW00016051,1973-03-14,Male
AW00016052,1962-05-06,Male
AW00016053,1967-06-15,Male
AW00016054,1961-12-17,Male
AW00016055,1961-06-17,Male
AW00016056,1966-09-17,Female
AW00016057,1966-12-10,Female
AW00016058,1965-05-31,Female
AW00016059,1944-04-09,Male
AW00016060,1976-04-25,Male
AW00016061,1981-07-02,Male
AW00016062,1981-06-05,Female
AW00016063,1981-07-12,Male
AW00016064,1974-08-29,Female
AW00016065,1975-01-18,Female
AW00016066,1980-07-19,Male
AW00016067,1980-04-16,Female
AW00016068,1974-08-31,Male
AW00016069,1975-03-04,Female
AW00016070,1975-06-21,Female
AW00016071,1976-07-09,Female
AW00016072,1982-10-08,Male
AW00016073,1977-06-10,Female
AW00016074,1977-05-11,Male
AW00016075,1977-01-22,Female
AW00016076,1982-06-12,Female
AW00016077,1982-05-28,Female
AW00016078,1977-03-05,Female
AW00016079,1977-03-06,Female
AW00016080,1974-01-29,Male
AW00016081,1973-09-18,Male
AW00016082,1979-05-19,Female
AW00016083,1972-12-30,Female
AW00016084,1973-05-16,Female
AW00016085,1975-07-10,Male
AW00016086,1975-11-08,Male
AW00016087,1975-12-11,Male
AW00016088,1973-01-06,Male
AW00016089,1973-01-30,Male
AW00016090,1972-12-31,Female
AW00016091,1983-10-19,Female
AW00016092,1971-07-02,Female
AW00016093,1971-08-30,Female
AW00016094,1977-11-08,Female
AW00016095,1971-08-11,Male
AW00016096,1974-07-25,Male
AW00016097,1975-05-05,Female
AW00016098,1975-03-06,Female
AW00016099,1980-08-05,Male
AW00016100,1980-03-30,Male
AW00016101,1975-03-19,Female
AW00016102,1971-02-11,Male
AW00016103,1982-04-06,Female
AW00016104,1971-05-04,Female
AW00016105,1970-08-04,Female
AW00016106,1970-09-18,Male
AW00016107,1980-10-14,Female
AW00016108,1975-06-21,Male
AW00016109,1970-01-02,Male
AW00016110,1969-12-29,Male
AW00016111,1980-02-02,Female
AW00016112,1968-09-01,Male
AW00016113,1979-08-09,Male
AW00016114,1968-09-10,Male
AW00016115,1973-12-11,Female
AW00016116,1973-12-04,Male
AW00016117,1968-05-01,Male
AW00016118,1968-03-02,Male
AW00016119,1967-03-12,Female
AW00016120,1977-10-08,Male
AW00016121,1966-11-01,Female
AW00016122,1967-06-15,Male
AW00016123,1967-01-05,Female
AW00016124,1967-05-03,Male
AW00016125,1966-09-03,Female
AW00016126,1967-01-14,Female
AW00016127,1983-03-10,Female
AW00016128,1977-12-18,Female
AW00016129,1966-04-10,Female
AW00016130,1971-12-21,Female
AW00016131,1965-11-11,Male
AW00016132,1971-11-30,Female
AW00016133,1978-08-09,Male
AW00016134,1972-12-03,Male
AW00016135,1972-12-28,Female
AW00016136,1972-12-01,Male
AW00016137,1972-09-11,Male
AW00016138,1972-08-08,Male
